time,taker,case,base,quote,price,quantity
2022-10-11 23:33:16.487326,e9dbe1704f50f5ada909be739dc359549d6e5a04d36a557f9ce87bb02a02eb08,sell,Mango,USD Coin,0.0201,649
2022-10-11 23:33:05.025597,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0203,145
2022-10-11 23:33:05.025597,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0202,351
2022-10-11 23:33:05.025597,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0202,346
2022-10-11 23:33:05.025597,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0201,150
2022-10-11 23:33:05.025597,Mango,sell,Mango,USD Coin,0.0203,13
2022-10-11 23:32:58.789214,052a204c36e4b806ce32b539474b8e6db78955e64b66043fbba431ef289a3d30,sell,Mango,USD Coin,0.0201,15
2022-10-11 23:32:58.789214,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0203,494
2022-10-11 23:32:58.789214,052a204c36e4b806ce32b539474b8e6db78955e64b66043fbba431ef289a3d30,sell,Mango,USD Coin,0.0204,157
2022-10-11 23:32:52.765341,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0204,492
2022-10-11 23:31:44.145082,Mango,sell,Mango,USD Coin,0.0201,18
2022-10-11 23:29:27.317214,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0225,409
2022-10-11 23:29:27.317214,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0248,31
2022-10-11 23:29:27.317214,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0225,444
2022-10-11 23:29:17.019776,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0224,263
2022-10-11 23:29:11.745432,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0224,446
2022-10-11 23:29:05.543385,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0239,106
